,Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name
0,https://biodiversity.org.au/afd/taxa/6c646af8-06fb-40ae-83aa-3dd001cc4ea6,Callocephalon fimbriatum,"(Grant, 1803)",species,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Gang-gang Cockatoo
1,https://biodiversity.org.au/afd/taxa/46fca72f-4a32-44c5-a67c-770bd5333f55,Polytelis swainsonii,"(Desmarest, 1826)",species,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,Superb Parrot
2,https://biodiversity.org.au/afd/taxa/a3e5376b-f9e6-4bdf-adae-1e7add9f5c29,Petroica (Petroica) boodang,"(Lesson, 1838)",species,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Scarlet Robin
3,https://biodiversity.org.au/afd/taxa/11036a27-7acd-4e65-aaae-6b68fa303606,Irediparra gallinacea,"(Temminck, 1828)",species,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Irediparra,Comb-crested Jacana
4,https://biodiversity.org.au/afd/taxa/8bf4b8b0-f432-4e9d-8ea6-08fc20c8090c,Daphoenositta (Neositta) chrysoptera,"(Latham, 1801)",species,Animalia,Chordata,Aves,Passeriformes,Neosittidae,Daphoenositta,Varied Sittella
5,https://biodiversity.org.au/afd/taxa/fe74e658-4848-437a-a23d-f1001a198552,Petroica (Littlera) phoenicea,"Gould, 1837",species,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Flame Robin
6,https://biodiversity.org.au/afd/taxa/cc5315bf-6682-44d9-809c-139afaddf7c8,Pseudophryne pengilleyi,"Wells & Wellington, 1985",species,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Pseudophryne,Northern Corroboree Frog
7,https://biodiversity.org.au/afd/taxa/2063bf6d-973d-4de1-bb0c-dec72f5d019b,Pachycephala (Timixos) olivacea,"Vigors & Horsfield, 1827",species,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,Pachycephala,Olive Whistler
8,https://biodiversity.org.au/afd/taxa/6e872b58-55d1-443c-a30e-0d90a57e3240,Stagonopleura (Stagonopleura) guttata,"(Shaw, 1796)",species,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Stagonopleura,Diamond Firetail
9,https://biodiversity.org.au/afd/taxa/b47a4ecd-416b-458c-886a-1dc3490e8175,Hieraaetus (Hieraaetus) morphnoides,"(Gould, 1841)",species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Little Eagle
10,https://biodiversity.org.au/afd/taxa/cd4e3b1b-4387-4338-8fc8-0da4f30a9e0b,Burhinus (Burhinus) grallarius,"(Latham, 1801)",species,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,Bush Stone-curlew
11,https://biodiversity.org.au/afd/taxa/19c9bfdf-0fbd-4b1b-a7c4-64498290d059,Bettongia gaimardi,"(Desmarest, 1822)",species,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Bettongia,Tasmanian Bettong
12,https://biodiversity.org.au/afd/taxa/d1c5dee0-0de6-487c-bf10-9fc5188ab671,Ninox (Rhabdoglaux) strenua,"(Gould, 1838)",species,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ninox,Powerful Owl
13,https://biodiversity.org.au/afd/taxa/dc420306-4746-4663-9c2d-cf367587f728,Haliaeetus (Pontoaetus) leucogaster,"(Gmelin, 1788)",species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,White-bellied Sea-eagle
14,https://biodiversity.org.au/afd/taxa/52149285-a12a-4085-a285-b41af5ba3ce3,Dasyurus viverrinus,"(Shaw, 1800)",species,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Eastern Quoll
15,https://biodiversity.org.au/afd/taxa/a51dca29-50e7-49b4-ae35-5c35a9c4f854,Synemon plana,"Walker, 1854",species,Animalia,Arthropoda,Insecta,Lepidoptera,Castniidae,Synemon,Golden Sun Moth
16,https://biodiversity.org.au/afd/taxa/c95af018-43ab-43b8-8e14-037604db64f6,Epthianura (Epthianura) albifrons,"(Jardine & Selby, 1828)",species,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Epthianura,White-fronted Chat
17,https://id.biodiversity.org.au/node/apni/2910323,Ammobium craspedioides,Benth.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Ammobium,Yass Daisy
18,https://id.biodiversity.org.au/node/apni/2918079,Wilsonia rotundifolia,Hook.,species,Plantae,Charophyta,Equisetopsida,Solanales,Convolvulaceae,Wilsonia,Roundleaf Wilsonia
19,https://biodiversity.org.au/afd/taxa/694a8fde-c6b1-4947-bae1-801541614999,Circus assimilis,"Jardine & Selby, 1828",species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Spotted Harrier
20,https://biodiversity.org.au/afd/taxa/32f9229c-89e9-4dbe-991b-d4b1c2cfbe97,Oxyura australis,"Gould, 1837",species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Blue-billed Duck
21,https://id.biodiversity.org.au/taxon/apni/51286043,Leucochrysum albicans,(A.Cunn.) Paul G.Wilson,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Leucochrysum,
22,https://biodiversity.org.au/afd/taxa/dba78701-cae9-4afb-a41a-6697c52c5e34,Botaurus poiciloptilus,"(Wagler, 1827)",species,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Botaurus,Australasian Bittern
23,https://id.biodiversity.org.au/node/apni/2920809,Eucalyptus pumila,Cambage,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Pokolbin Mallee
24,https://id.biodiversity.org.au/node/apni/7062437,Rutidosis leptorhynchoides,F.Muell.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Rutidosis,Button Wrinklewort
25,https://id.biodiversity.org.au/taxon/apni/51290011,Eucalyptus radiata,Sieber ex DC.,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Narrow-leaved Peppermint
26,https://biodiversity.org.au/afd/taxa/0aa4d63d-c3cc-4561-a880-921efa9266ce,Keyacris scurra,"(Rehn, 1952)",species,Animalia,Arthropoda,Insecta,Orthoptera,Morabidae,Keyacris,Key's Matchstick Grasshopper
27,https://biodiversity.org.au/afd/taxa/1b653e0c-0875-4751-8a68-f608891b4912,Petaurus norfolcensis,"(Kerr, 1792)",species,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,Squirrel Glider
28,https://biodiversity.org.au/afd/taxa/320aeab1-aead-4b82-a580-8cd3ae99fdef,Artamus (Angroyan) cyanopterus,"(Latham, 1801)",species,Animalia,Chordata,Aves,Passeriformes,Artamidae,Artamus,Dusky Woodswallow
29,https://biodiversity.org.au/afd/taxa/5557cf29-7a94-46c3-b459-01db536ed380,Litoria verreauxii,"(Dum̩ril, 1853)",species,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Verreaux's Frog
30,https://biodiversity.org.au/afd/taxa/e9d6fbbd-1505-4073-990a-dc66c930dad6,Phascolarctos cinereus,"(Goldfuss, 1817)",species,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Koala
